,Date,Sex,Age
548,2013.0,Female,44.0
549,2015.0,Male,52.0
550,2015.0,Male,20.0
551,2012.0,Female,47.0
552,2015.0,Male,26.0
553,2013.0,Male,39.0
554,2012.0,Male,44.0
555,2015.0,Male,51.0
556,2014.0,Female,49.0
557,2013.0,Female,30.0
558,2012.0,Male,21.0
559,2014.0,Male,48.0
560,2014.0,Male,42.0
561,2013.0,Male,56.0
562,2014.0,Male,43.0
563,2015.0,Female,38.0
564,2013.0,Male,33.0
565,2012.0,Male,43.0
566,2015.0,Male,59.0
567,2013.0,Female,48.0
568,2012.0,Female,38.0
569,2012.0,Male,18.0
570,2013.0,Male,44.0
571,2015.0,Female,55.0
572,2012.0,Male,21.0
573,2015.0,Male,56.0
574,2014.0,Male,57.0
575,2015.0,Male,53.0
576,2014.0,Male,44.0
577,2014.0,Male,24.0
578,2012.0,Female,38.0
579,2013.0,Male,43.0
580,2014.0,Female,54.0
581,2013.0,Female,58.0
582,2015.0,Male,24.0
583,2012.0,Female,59.0
584,2015.0,Male,41.0
585,2012.0,Male,40.0
586,2014.0,Female,49.0
587,2014.0,Male,36.0
588,2014.0,Male,32.0
589,2012.0,Male,30.0
590,2012.0,Male,47.0
591,2014.0,Male,53.0
592,2012.0,Male,52.0
593,2013.0,Male,19.0
594,2014.0,Female,65.0
595,2013.0,Male,39.0
596,2014.0,Male,51.0
597,2014.0,Male,36.0
598,2012.0,Male,50.0
599,2014.0,Male,41.0
600,2014.0,Male,35.0
601,2015.0,Male,48.0
602,2015.0,Male,35.0
603,2014.0,Female,36.0
604,2012.0,Male,44.0
605,2013.0,Male,66.0
606,2015.0,Male,28.0
607,2014.0,Female,45.0
608,2015.0,Female,33.0
609,2012.0,Male,20.0
610,2015.0,Male,44.0
611,2015.0,Male,29.0
612,2015.0,Male,42.0
613,2012.0,Male,55.0
614,2014.0,Male,42.0
615,2014.0,Male,70.0
616,2015.0,Male,55.0
617,2013.0,Male,43.0
618,2012.0,Male,51.0
619,2014.0,Male,35.0
620,2013.0,Male,32.0
621,2015.0,Male,52.0
622,2015.0,Male,63.0
623,2015.0,Male,54.0
624,2015.0,Male,35.0
625,2015.0,Male,27.0
626,2013.0,Male,31.0
627,2012.0,Male,45.0
628,2014.0,Male,54.0
629,2014.0,Female,23.0
630,2012.0,Female,54.0
631,2013.0,Male,61.0
632,2013.0,Male,54.0
633,2014.0,Male,28.0
634,2014.0,Female,48.0
635,2015.0,Male,45.0
636,2015.0,Female,38.0
637,2014.0,Male,32.0
638,2013.0,Male,51.0
639,2012.0,Male,52.0
640,2015.0,Male,56.0
641,2012.0,Female,56.0
642,2013.0,Male,26.0
643,2014.0,Male,31.0
644,2013.0,Female,43.0
645,2012.0,Male,40.0
646,2013.0,Female,42.0
647,2015.0,Male,27.0
648,2013.0,Female,47.0
649,2013.0,Male,24.0
650,2015.0,Male,27.0
651,2014.0,Male,51.0
652,2014.0,Male,68.0
653,2013.0,Male,51.0
654,2014.0,Male,49.0
655,2014.0,Male,50.0
656,2014.0,Male,55.0
657,2013.0,Male,22.0
658,2013.0,Male,29.0
659,2012.0,Male,37.0
660,2013.0,Female,53.0
661,2014.0,Female,39.0
662,2014.0,Male,33.0
663,2015.0,Female,38.0
664,2014.0,Male,28.0
665,2015.0,Male,50.0
666,2013.0,Female,39.0
667,2013.0,Female,26.0
668,2013.0,Female,33.0
669,2013.0,Male,53.0
670,2013.0,Male,20.0
671,2013.0,Female,50.0
672,2015.0,Male,20.0
673,2015.0,Male,27.0
674,2014.0,Male,40.0
675,2014.0,Male,25.0
676,2014.0,Male,36.0
677,2012.0,Female,51.0
678,2015.0,Female,51.0
679,2012.0,Male,54.0
680,2014.0,Male,53.0
681,2012.0,Male,25.0
682,2013.0,Male,54.0
683,2012.0,Female,21.0
684,2014.0,Male,45.0
685,2014.0,Female,24.0
686,2015.0,Male,45.0
687,2013.0,Male,64.0
688,2015.0,Male,68.0
689,2012.0,Male,45.0
690,2015.0,Female,47.0
691,2015.0,Male,53.0
692,2015.0,Male,29.0
693,2013.0,Female,26.0
694,2014.0,Male,31.0
695,2013.0,Female,20.0
696,2015.0,Male,58.0
697,2012.0,Male,45.0
698,2013.0,Male,53.0
699,2013.0,Male,36.0
700,2015.0,Male,32.0
701,2013.0,Male,21.0
702,2015.0,Female,33.0
703,2015.0,Male,27.0
704,2015.0,Male,34.0
705,2014.0,Male,34.0
706,2013.0,Male,30.0
707,2012.0,Male,59.0
708,2013.0,Male,48.0
709,2015.0,Male,51.0
710,2015.0,Male,59.0
711,2013.0,Male,45.0
712,2014.0,Male,43.0
713,2013.0,Male,48.0
714,2013.0,Male,54.0
715,2013.0,Male,46.0
716,2013.0,Female,63.0
717,2014.0,Female,42.0
718,2013.0,Male,47.0
719,2013.0,Male,29.0
720,2012.0,Male,28.0
721,2014.0,Male,24.0
722,2015.0,Male,42.0
723,2015.0,Male,49.0
724,2015.0,Male,28.0
725,2013.0,Male,33.0
726,2013.0,Male,58.0
727,2013.0,Male,55.0
728,2015.0,Male,33.0
729,2015.0,Male,20.0
730,2012.0,Male,44.0
731,2012.0,Male,28.0
732,2015.0,Male,25.0
733,2015.0,Male,38.0
734,2015.0,Male,50.0
735,2014.0,Male,41.0
736,2014.0,Male,44.0
737,2015.0,Male,32.0
738,2012.0,Male,52.0
739,2013.0,Male,34.0
740,2014.0,Male,23.0
741,2012.0,Male,35.0
742,2012.0,Male,45.0
743,2012.0,Male,43.0
744,2012.0,Female,40.0
745,2013.0,Male,18.0
746,2014.0,Male,43.0
747,2012.0,Male,31.0
748,2015.0,Male,41.0
749,2013.0,Male,38.0
750,2014.0,Male,46.0
751,2015.0,Male,45.0
